Organism Name,Taxonomic Categories,Image Path
Bacillus Anthracis,bacteria,assets/webp/taxo/bacteria/bacillus_anthracis.webp
Bacillus Subtilis,bacteria,assets/webp/taxo/bacteria/bacillus_subtilis.webp
Borrelia Burgdorferi,bacteria,assets/webp/taxo/bacteria/borrelia_burgdorferi.webp
Campylobacter Jejuni,bacteria,assets/webp/taxo/bacteria/campylobacter_jejuni.webp
Clostridium Botulinum,bacteria,assets/webp/taxo/bacteria/clostridium_botulinum.webp
Clostridium Difficile,bacteria,assets/webp/taxo/bacteria/clostridium_difficile.webp
Clostridium Tetani,bacteria,assets/webp/taxo/bacteria/clostridium_tetani.webp
Enterococcus Faecalis,bacteria,assets/webp/taxo/bacteria/enterococcus_faecalis.webp
Escherichia Coli,bacteria,assets/webp/taxo/bacteria/escherichia_coli.webp
Haemophilus Influenzae,bacteria,assets/webp/taxo/bacteria/haemophilus_influenzae.webp
Legionella Pneumophila,bacteria,assets/webp/taxo/bacteria/legionella_pneumophila.webp
Listeria Monocytogenes,bacteria,assets/webp/taxo/bacteria/listeria_monocytogenes.webp
Mycobacterium Leprae,bacteria,assets/webp/taxo/bacteria/mycobacterium_leprae.webp
Mycobacterium Tuberculosis,bacteria,assets/webp/taxo/bacteria/mycobacterium_tuberculosis.webp
Neisseria Gonorrhea,bacteria,assets/webp/taxo/bacteria/neisseria_gonorrhea.webp
Nitrosomonas Europaea,bacteria,assets/webp/taxo/bacteria/nitrosomonas_europaea.webp
Rickettsia Rickettsii,bacteria,assets/webp/taxo/bacteria/rickettsia_rickettsii.webp
Salmonella Enterica,bacteria,assets/webp/taxo/bacteria/salmonella_enterica.webp
Shigella Dysenteriae,bacteria,assets/webp/taxo/bacteria/shigella_dysenteriae.webp
Staphylococcus Aureus,bacteria,assets/webp/taxo/bacteria/staphylococcus_aureus.webp
Streptococcus Pneumonae,bacteria,assets/webp/taxo/bacteria/streptococcus_pneumonae.webp
Streptococcus Pyogenes,bacteria,assets/webp/taxo/bacteria/streptococcus_pyogenes.webp
Treponema Palidium,bacteria,assets/webp/taxo/bacteria/treponema_palidium.webp
Vibrio Cholerae,bacteria,assets/webp/taxo/bacteria/vibrio_cholerae.webp
Yersinia Pestis,bacteria,assets/webp/taxo/bacteria/yersinia_pestis.webp
Allolobophora Chlorotica,eukaryota; animalia; annelida,assets/webp/taxo/eukaryota/animalia/annelida/allolobophora_chlorotica.webp
Aphrodia Aculeata,eukaryota; animalia; annelida,assets/webp/taxo/eukaryota/animalia/annelida/aphrodia_aculeata.webp
Eisenia Fetida,eukaryota; animalia; annelida,assets/webp/taxo/eukaryota/animalia/annelida/eisenia_fetida.webp
Haemopis Sanguisuga,eukaryota; animalia; annelida,assets/webp/taxo/eukaryota/animalia/annelida/haemopis_sanguisuga.webp
Hirudo Medicinalis,eukaryota; animalia; annelida,assets/webp/taxo/eukaryota/animalia/annelida/hirudo_medicinalis.webp
Lumbricus Terrestris,eukaryota; animalia; annelida,assets/webp/taxo/eukaryota/animalia/annelida/lumbricus_terrestris.webp
Macrobdella Decora,eukaryota; animalia; annelida,assets/webp/taxo/eukaryota/animalia/annelida/macrobdella_decora.webp
Nereis Virens,eukaryota; animalia; annelida,assets/webp/taxo/eukaryota/animalia/annelida/nereis_virens.webp
Octolasion Cyaneum,eukaryota; animalia; annelida,assets/webp/taxo/eukaryota/animalia/annelida/octolasion_cyaneum.webp
Amblyomma Americanum,eukaryota; animalia; arthropoda; arachnida; acari,assets/webp/taxo/eukaryota/animalia/arthropoda/arachnida/acari/amblyomma_americanum.webp
Demodex Folliculorum,eukaryota; animalia; arthropoda; arachnida; acari,assets/webp/taxo/eukaryota/animalia/arthropoda/arachnida/acari/demodex_folliculorum.webp
Dermacentor Variabilis,eukaryota; animalia; arthropoda; arachnida; acari,assets/webp/taxo/eukaryota/animalia/arthropoda/arachnida/acari/dermacentor_variabilis.webp
Ixodes Holocyclus,eukaryota; animalia; arthropoda; arachnida; acari,assets/webp/taxo/eukaryota/animalia/arthropoda/arachnida/acari/ixodes_holocyclus.webp
Ixodes Scapularis,eukaryota; animalia; arthropoda; arachnida; acari,assets/webp/taxo/eukaryota/animalia/arthropoda/arachnida/acari/ixodes_scapularis.webp
Rhipicephalus Sanguineus,eukaryota; animalia; arthropoda; arachnida; acari,assets/webp/taxo/eukaryota/animalia/arthropoda/arachnida/acari/rhipicephalus_sanguineus.webp
